Pair_ID,num_nodes,num_edges,density,is_connected,avg_clustering,transitivity,assortativity,max_degree,min_degree,avg_degree,avg_betweenness,avg_closeness,diameter,radius,avg_is_ligand,num_unique_residues,residue_ALA_count,residue_ARG_count,residue_ASN_count,residue_ASP_count,residue_CYS_count,residue_GLN_count,residue_GLU_count,residue_GLY_count,residue_HIS_count,residue_ILE_count,residue_LEU_count,residue_LYS_count,residue_MET_count,residue_PHE_count,residue_PRO_count,residue_SER_count,residue_THR_count,residue_TRP_count,residue_TYR_count,residue_VAL_count,node_type_1_count,node_type_2_count,node_type_4_count,node_type_5_count,node_type_6_count,node_type_7_count,node_type_8_count,node_type_10_count,node_type_16_count,node_type_17_count,node_type_32_count,node_type_33_count,node_type_34_count,node_type_36_count,node_type_38_count,node_type_39_count,avg_edge_distance,min_edge_distance,max_edge_distance,edge_type_128_count,edge_type_256_count,edge_type_384_count,edge_type_512_count,edge_type_1024_count,edge_type_1152_count,edge_type_1536_count,edge_type_1664_count,edge_type_2048_count,edge_type_2560_count,Label_gt_0,Label_gt_1pct,Label_gt_2pct,Label_gt_3pct,Label_gt_4pct,Label_gt_5pct,Label_gt_6pct,Label_gt_7pct,Label_gt_8pct,Label_gt_9pct,Label_gt_10pct,Label
627,8,7,0.25,1,0.0,0.0,-0.7385620915032687,5,1,1.75,0.17261904761904762,0.5130421865715983,3,2,0.375,3,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,0,1,0,0,3.7030448379978895,2.6273596097286434,5.125261428378228,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
632,4,3,0.5,1,0.0,0.0,-0.4999999999999988,2,1,1.5,0.3333333333333333,0.625,3,2,0.5,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,5.03273017112824,4.292033268088619,5.4774496838420434,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0
634,6,8,0.5333333333333333,1,0.0,0.0,-1.0,4,2,2.6666666666666665,0.1166666666666667,0.6944444444444445,2,2,0.6666666666666666,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,4.174530290811803,2.746107513834662,5.5290806827676455,0,0,0,0,0,0,0,0,7,1,1,1,1,0,0,0,0,0,0,0,0,0
635,6,6,0.4,1,0.0,0.0,,2,2,2.0,0.19999999999999998,0.5555555555555555,3,3,0.5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2.298650538802003,2.2929140995919743,2.3085929097861984,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
636,12,16,0.24242424242424243,1,0.0,0.0,-0.5205183585313174,5,1,2.6666666666666665,0.12878787878787878,0.4563097212813272,5,3,0.4166666666666667,3,0,8,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,5.071127715225639,3.3714061147695675,5.9769310141865155,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
637,4,4,0.6666666666666666,1,0.0,0.0,,2,2,2.0,0.16666666666666666,0.75,2,2,0.5,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4.245530749738691,3.2760072991706757,5.145631919767568,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0
638,12,17,0.25757575757575757,1,0.0,0.0,-0.2707070707070705,5,1,2.8333333333333335,0.13333333333333333,0.44812525437525447,5,3,0.5,3,0,0,0,0,0,0,7,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,4.92515724342045,3.5272355354595435,5.897187484184247,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
642,6,6,0.4,1,0.0,0.0,-0.09090909090909247,3,1,2.0,0.23333333333333336,0.5366855366855366,4,2,0.5,4,1,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,3.8119890161828898,2.6778431850741664,5.781405161394567,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
645,5,5,0.5,1,0.0,0.0,-0.6666666666666623,3,1,2.0,0.19999999999999998,0.6409523809523809,3,2,0.4,3,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,3.937504927155994,2.5537060799910636,5.581262893576559,0,0,0,1,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0
651,4,3,0.5,1,0.0,0.0,-1.0,3,1,1.5,0.25,0.7000000000000001,2,1,0.75,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5.110847448747257,4.661340822727432,5.436143048276579,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0
656,5,4,0.4,1,0.0,0.0,-0.6666666666666666,3,1,1.6,0.26666666666666666,0.5822222222222222,3,2,0.4,2,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3.5456073886338606,3.39445645053492,3.6999984371337855,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
657,8,8,0.2857142857142857,1,0.0,0.0,-0.5384615384615384,5,1,2.0,0.17261904761904762,0.5133351856262073,4,2,0.375,3,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,4.607956066615339,3.320424001261037,5.926050011952983,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665,4,3,0.5,1,0.0,0.0,-0.4999999999999988,2,1,1.5,0.3333333333333333,0.625,3,2,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3.534473872731765,3.448075324955046,3.6469409096808074,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666,4,3,0.5,1,0.0,0.0,-0.4999999999999988,2,1,1.5,0.3333333333333333,0.625,3,2,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3.623262474603475,3.529183558493214,3.7695205535309224,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
668,8,10,0.35714285714285715,1,0.0,0.0,-0.5000000000000013,4,1,2.5,0.14285714285714285,0.5552083333333333,3,2,0.5,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5.240701411560517,3.7647301723050703,5.974646512690846,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
